序号,分类,菜名,文件名(id),卡路里,减脂,主要食材,简介
"1","家常菜","番茄炒蛋","tomato-egg","170","","番茄/鸡蛋","酸甜下饭，厨房新手也能一次成功。"
"2","家常菜","土豆炖牛肉","potato-beef","430","","土豆/牛肉/胡萝卜","浓郁软烂，一锅就能照顾好全家。"
"3","家常菜","青椒肉丝","pepper-pork","350","","青椒/猪肉","快手下饭，清香不腻。"
"4","家常菜","红烧肉","braised-pork","670","","五花肉","肥而不腻，入口即化的经典。"
"5","家常菜","糖醋排骨","sweet-sour-ribs","570","","排骨","酸甜油亮，孩子最爱的一道。"
"6","家常菜","番茄鸡蛋面","tomato-egg-noodle","400","","番茄/鸡蛋/面条","一碗热汤面，暖胃又治愈。"
"7","家常菜","黄金蛋炒饭","egg-fried-rice","360","","鸡蛋/米饭/胡萝卜","剩饭的最佳归宿，粒粒分明。"
"8","家常菜","嫩滑蒸蛋羹","steamed-egg","70","是","鸡蛋","像布丁一样滑，老人小孩都适合。"
"9","家常菜","红烧鱼","braised-fish","280","","鱼","鲜香入味，年夜饭常客。"
"10","家常菜","醋溜土豆丝","potato-shreds","160","","土豆/青椒","爽脆酸辣，永远的下饭王。"
"11","家常菜","红烧茄子","braised-eggplant","140","","茄子","软糯入味，比肉还下饭。"
"12","家常菜","白菜炖豆腐","cabbage-tofu","140","是","白菜/豆腐","清甜暖身，冬天的一锅慰藉。"
"13","家常菜","红烧鸡翅","braised-wings","370","","鸡翅","酱色油亮，一人能吃一盘。"
"14","家常菜","菠菜蛋花汤","spinach-egg-soup","90","是","菠菜/鸡蛋","五分钟出锅的清爽汤。"
"15","家常菜","洋葱炒牛肉","onion-beef","310","","洋葱/牛肉","洋葱回甜，牛肉滑嫩。"
"16","家常菜","南瓜粥","pumpkin-porridge","300","","南瓜/米饭","香甜绵软，养胃早餐首选。"
"17","家常菜","蒜泥拍黄瓜","smashed-cucumber","30","是","黄瓜","爽口解腻，夏天必备凉菜。"
"18","家常菜","咖喱鸡","curry-chicken","400","","鸡肉/土豆/胡萝卜/洋葱","浓香拌饭，一盘就满足。"
"19","家常菜","金针菇肥牛卷","enoki-beef-roll","320","","金针菇/牛肉","一口一卷，汤汁浓郁。"
"20","家常菜","孜然羊肉","cumin-lamb","320","","羊肉/洋葱","香气霸道，越嚼越上头。"
"21","家常菜","香肠焖饭","sausage-rice","630","","香肠/米饭/胡萝卜","一锅出，米饭吸满肉香。"
"22","家常菜","青椒豆干","doufugan-celery","200","","豆干/青椒","越嚼越香的下饭小炒。"
"23","家常菜","小鸡炖蘑菇","mushroom-chicken-stew","250","","鸡肉/蘑菇","东北经典，鲜香浓郁。"
"24","家常菜","西葫芦炒鸡蛋","zucchini-egg","120","","西葫芦/鸡蛋","清甜快手，几分钟一盘。"
"25","家常菜","木耳炒鸡蛋","wood-egg","130","","木耳/鸡蛋","木须风味，滑嫩又爽脆。"
"26","家常菜","凉拌木耳","cold-woodear","70","是","木耳/青椒","爽脆开胃，夏日凉菜首选。"
"27","家常菜","豆芽炒韭菜","sprout-chives","70","","豆芽/韭菜","镬气十足，几十秒的快炒。"
"28","家常菜","芹菜炒香干","celery-doufugan","210","","芹菜/豆干","清香爽脆，越吃越有味。"
"29","家常菜","韭菜炒蛋","chives-egg","120","","韭菜/鸡蛋","家常到不能再家常的下饭菜。"
"30","家常菜","凉拌藕片","cold-lotus","120","是","莲藕","清爽脆口，解腻小凉菜。"
"31","家常菜","清炒山药","yam-stirfry","110","是","山药/青椒","脆嫩爽口，养胃又简单。"
"32","家常菜","辣炒年糕","spicy-ricecake","380","","年糕/白菜","软糯弹牙，甜辣过瘾。"
"33","家常菜","家常豆腐","home-tofu","480","","豆腐/猪肉/青椒","外焦里嫩，酱汁浓郁超下饭。"
"34","家常菜","葱烧豆腐","scallion-tofu","190","","豆腐","葱香浓郁，一块豆腐吃出满足感。"
"35","家常菜","糖醋茄子","sweet-sour-eggplant","140","","茄子","酸甜开胃，比红烧茄子更讨喜。"
"36","家常菜","地三鲜","disanxian","220","","土豆/茄子/青椒","土豆茄子青椒的黄金组合。"
"37","家常菜","手撕包菜","hand-cabbage","50","","白菜","镬气十足，酸辣爽脆巨下饭。"
"38","家常菜","番茄牛腩","tomato-brisket","440","","牛肉/番茄/土豆","酸甜浓稠，汤汁拌饭能吃两碗。"
"39","家常菜","蒜蓉西兰花","garlic-broccoli","60","是","西兰花","清爽少油，减脂也能吃得香。"
"40","家常菜","肉末豆腐","mince-tofu","450","","豆腐/猪肉","嫩豆腐配肉末，一勺盖一碗饭。"
"41","家常菜","肉末豆角","mince-greenbean","380","","四季豆/猪肉","豆角吸满肉香，家常又下饭。"
"42","家常菜","黄焖鸡","braised-chicken-pot","330","","鸡肉/香菇/青椒","酱香浓郁，配米饭是绝配。"
"43","家常菜","爆炒豆芽","stirfry-sprout","80","","豆芽/青椒","几十秒的快手菜，脆爽解腻。"
"44","家常菜","青椒炒鸡蛋","pepper-egg","120","","青椒/鸡蛋","清香脆嫩，最简单的下饭菜。"
"45","家常菜","洋葱炒鸡蛋","onion-egg","130","","洋葱/鸡蛋","洋葱回甜，鸡蛋滑嫩。"
"46","家常菜","苦瓜炒鸡蛋","bittermelon-egg","130","","苦瓜/鸡蛋","微苦回甘，清热又开胃。"
"47","川味","家常麻婆豆腐","mapo-tofu","150","","豆腐","麻辣鲜香，十分钟就能吃掉一碗饭。"
"48","川味","宫保鸡丁","kungpao-chicken","320","","鸡肉/黄瓜/胡萝卜","糊辣荔枝味，酸甜微辣很开胃。"
"49","川味","干煸四季豆","dry-greenbean","360","","四季豆/猪肉","干香微辣，超级下饭。"
"50","川味","干锅菜花","ganguo-cauliflower","680","","菜花/五花肉","焦香微辣，一口一个停不下。"
"51","川味","蚂蚁上树","ants-tree","520","","粉丝/猪肉","粉丝吸满肉香，超级下饭。"
"52","川味","鱼香肉丝","yuxiang-pork","460","","猪肉/木耳/胡萝卜","咸甜酸辣，没有鱼却有鱼香。"
"53","川味","回锅肉","twice-pork","730","","五花肉/青椒","肥而不腻，灯盏窝的经典。"
"54","粤味","蚝油西兰花牛肉","broccoli-beef","320","","西兰花/牛肉","爽脆与滑嫩的经典组合。"
"55","粤味","蒜蓉炒蛤蜊","garlic-clams","100","","蛤蜊","鲜到掉眉毛的下酒菜。"
"56","粤味","玉米排骨汤","corn-ribs-soup","500","","玉米/排骨/胡萝卜","清甜滋补，喝一碗全身暖。"
"57","粤味","蚝油生菜","lettuce-oyster","40","是","生菜","清脆翠绿，快手又清爽。"
"58","粤味","莲藕排骨汤","lotus-ribs-soup","450","","莲藕/排骨","清润滋补，秋冬煲一锅最舒服。"
"59","粤味","香菇滑鸡","shiitake-chicken","240","是","香菇/鸡肉","嫩滑鲜香，广式经典蒸菜。"
"60","粤味","蒜蓉粉丝蒸生蚝","garlic-oyster","230","","生蚝/粉丝","蒜香浓郁，鲜到眉毛掉下来。"
"61","粤味","葱姜炒蟹","ginger-crab","180","","螃蟹","鲜甜镬气，海鲜控必点。"
"62","粤味","蒜蓉粉丝娃娃菜","garlic-vermicelli-cabbage","220","","白菜/粉丝","蒜香四溢，鲜甜多汁的蒸菜。"
"63","粤味","苦瓜酿排骨","bittermelon-ribs","490","","苦瓜/排骨","清苦解腻，排骨鲜香入味。"
"64","西式","蒜香黄油虾","garlic-shrimp","250","","虾/柠檬","香气很足，配面包或米饭都合适。"
"65","西式","蘑菇奶油鸡","cream-mushroom-chicken","400","","蘑菇/鸡肉/牛奶","柔和奶香包裹嫩鸡肉，温暖又满足。"
"66","西式","芝士焗西兰花","cheese-broccoli","410","","西兰花/奶酪/牛奶","拉丝焦香，蔬菜也能很诱人。"
"67","西式","香煎黑椒牛排","pan-steak","470","","牛肉","外焦里嫩，在家也有餐厅感。"
"68","西式","香煎鱿鱼","grilled-squid","260","","鱿鱼/柠檬","弹牙焦香，一挤柠檬更清爽。"
"69","西式","红酒炖牛肉","redwine-beef","410","","牛肉/胡萝卜/洋葱","法式浓香，肉酥汁稠，宴客有面子。"
"70","西式","香煎三文鱼","pan-salmon","450","是","三文鱼/柠檬","外焦里嫩，健身餐也能很香。"
"71","西式","白酒蒜香蛤蜊","winewine-clam","230","","蛤蜊","意式风味，汤汁拿面包蘸光。"
"72","西式","经典北非蛋","shakshuka","310","","鸡蛋/番茄/青椒/洋葱","番茄辣酱里卧着溏心蛋，配面包一绝。"
